pass,total cost
938,28.5217
939,28.5204
940,28.519
941,28.5176
942,28.5162
943,28.5149
944,28.5135
945,28.5122
946,28.5108
947,28.5094
948,28.5081
949,28.5067
950,28.5054
951,28.504
952,28.5027
953,28.5014
954,28.5
955,28.4987
956,28.4974
957,28.496
958,28.4947
959,28.4934
960,28.492
961,28.4907
962,28.4894
963,28.4881
964,28.4868
965,28.4855
966,28.4842
967,28.4828
968,28.4815
969,28.4802
970,28.4789
971,28.4776
972,28.4763
973,28.475
974,28.4737
975,28.4725
976,28.4712
977,28.4699
978,28.4686
979,28.4673
980,28.466
981,28.4648
982,28.4635
983,28.4622
984,28.4609
985,28.4597
986,28.4584
987,28.4571
988,28.4559
989,28.4546
990,28.4534
991,28.4521
992,28.4509
993,28.4496
994,28.4484
995,28.4471
996,28.4459
997,28.4446
998,28.4434
999,28.4421
1000,28.4409
1001,28.4397
1002,28.4384
1003,28.4372
1004,28.436
1005,28.4348
1006,28.4335
1007,28.4323
1008,28.4311
1009,28.4299
1010,28.4287
1011,28.4274
1012,28.4262
1013,28.425
1014,28.4238
1015,28.4226
1016,28.4214
1017,28.4202
1018,28.419
1019,28.4178
1020,28.4166
1021,28.4154
1022,28.4142
1023,28.413
1024,28.4118
1025,28.4106
1026,28.4095
1027,28.4083
1028,28.4071
1029,28.4059
1030,28.4047
1031,28.4036
1032,28.4024
1033,28.4012
1034,28.4
1035,28.3989
1036,28.3977
1037,28.3965
1038,28.3954
1039,28.3942
1040,28.3931
1041,28.3919
1042,28.3908
1043,28.3896
1044,28.3885
1045,28.3873
1046,28.3862
1047,28.385
1048,28.3839
1049,28.3827
1050,28.3816
1051,28.3804
1052,28.3793
1053,28.3782
1054,28.377
1055,28.3759
1056,28.3748
1057,28.3736
1058,28.3725
1059,28.3714
1060,28.3703
1061,28.3692
1062,28.368
1063,28.3669
1064,28.3658
1065,28.3647
1066,28.3636
1067,28.3625
1068,28.3614
1069,28.3603
1070,28.3591
1071,28.358
1072,28.3569
1073,28.3558
1074,28.3547
1075,28.3536
1076,28.3525
1077,28.3515
1078,28.3504
1079,28.3493
1080,28.3482
1081,28.3471
1082,28.346
1083,28.3449
1084,28.3438
1085,28.3428
1086,28.3417
1087,28.3406
1088,28.3395
1089,28.3385
1090,28.3374
1091,28.3363
1092,28.3352
1093,28.3342
1094,28.3331
1095,28.3321
1096,28.331
1097,28.3299
1098,28.3289
1099,28.3278
1100,28.3268
1101,28.3257
1102,28.3246
1103,28.3236
1104,28.3225
1105,28.3215
1106,28.3205
1107,28.3194
1108,28.3184
1109,28.3173
1110,28.3163
1111,28.3152
1112,28.3142
1113,28.3132
1114,28.3121
1115,28.3111
1116,28.3101
1117,28.309
1118,28.308
1119,28.307
1120,28.306
1121,28.3049
1122,28.3039
1123,28.3029
1124,28.3019
1125,28.3009
1126,28.2998
1127,28.2988
1128,28.2978
1129,28.2968
1130,28.2958
1131,28.2948
1132,28.2938
1133,28.2928
1134,28.2918
1135,28.2908
1136,28.2898
1137,28.2888
1138,28.2878
1139,28.2868
1140,28.2858
1141,28.2848
1142,28.2838
1143,28.2828
1144,28.2818
1145,28.2808
1146,28.2798
1147,28.2788
1148,28.2778
1149,28.2769
1150,28.2759
1151,28.2749
1152,28.2739
1153,28.2729
1154,28.272
1155,28.271
1156,28.27
1157,28.269
1158,28.2681
1159,28.2671
1160,28.2661
1161,28.2652
1162,28.2642
1163,28.2632
1164,28.2623
1165,28.2613
1166,28.2603
1167,28.2594
1168,28.2584
1169,28.2575
1170,28.2565
1171,28.2556
1172,28.2546
1173,28.2537
1174,28.2527
1175,28.2518
1176,28.2508
1177,28.2499
1178,28.2489
1179,28.248
1180,28.247
1181,28.2461
1182,28.2452
1183,28.2442
1184,28.2433
1185,28.2424
1186,28.2414
1187,28.2405
1188,28.2396
1189,28.2386
1190,28.2377
1191,28.2368
1192,28.2358
1193,28.2349
1194,28.234
1195,28.2331
1196,28.2322
1197,28.2312
1198,28.2303
1199,28.2294
1200,28.2285
1201,28.2276
1202,28.2267
1203,28.2257
1204,28.2248
1205,28.2239
1206,28.223
1207,28.2221
1208,28.2212
1209,28.2203
1210,28.2194
1211,28.2185
1212,28.2176
1213,28.2167
1214,28.2158
1215,28.2149
1216,28.214
1217,28.2131
1218,28.2122
1219,28.2113
1220,28.2104
1221,28.2095
1222,28.2086
1223,28.2077
1224,28.2068
1225,28.206
1226,28.2051
1227,28.2042
1228,28.2033
1229,28.2024
1230,28.2015
1231,28.2007
1232,28.1998
1233,28.1989
1234,28.198
1235,28.1972
1236,28.1963
1237,28.1954
1238,28.1945
1239,28.1937
1240,28.1928
1241,28.1919
1242,28.1911
1243,28.1902
1244,28.1893
1245,28.1885
1246,28.1876
1247,28.1868
1248,28.1859
1249,28.185
1250,28.1842
1251,28.1833
1252,28.1825
1253,28.1816
1254,28.1808
1255,28.1799
1256,28.1791
1257,28.1782
1258,28.1774
1259,28.1765
1260,28.1757
1261,28.1748
1262,28.174
1263,28.1731
1264,28.1723
1265,28.1714
1266,28.1706
1267,28.1698
1268,28.1689
1269,28.1681
1270,28.1672
1271,28.1664
1272,28.1656
1273,28.1647
1274,28.1639
1275,28.1631
1276,28.1622
1277,28.1614
1278,28.1606
1279,28.1598
1280,28.1589
1281,28.1581
1282,28.1573
1283,28.1565
1284,28.1556
1285,28.1548
1286,28.154
1287,28.1532
1288,28.1524
1289,28.1515
1290,28.1507
1291,28.1499
1292,28.1491
1293,28.1483
1294,28.1475
1295,28.1467
1296,28.1459
1297,28.1451
1298,28.1442
1299,28.1434
1300,28.1426
1301,28.1418
1302,28.141
1303,28.1402
1304,28.1394
1305,28.1386
1306,28.1378
1307,28.137
1308,28.1362
1309,28.1354
1310,28.1346
1311,28.1338
1312,28.133
1313,28.1322
1314,28.1315
1315,28.1307
1316,28.1299
1317,28.1291
1318,28.1283
1319,28.1275
1320,28.1267
1321,28.1259
1322,28.1251
1323,28.1244
1324,28.1236
1325,28.1228
1326,28.122
1327,28.1212
1328,28.1205
1329,28.1197
1330,28.1189
1331,28.1181
1332,28.1174
1333,28.1166
1334,28.1158
1335,28.115
1336,28.1143
1337,28.1135
1338,28.1127
1339,28.112
1340,28.1112
1341,28.1104
1342,28.1097
1343,28.1089
1344,28.1081
1345,28.1074
1346,28.1066
1347,28.1058
1348,28.1051
1349,28.1043
1350,28.1036
1351,28.1028
1352,28.102
1353,28.1013
1354,28.1005
1355,28.0998
1356,28.099
1357,28.0983
1358,28.0975
1359,28.0968
1360,28.096
1361,28.0953
1362,28.0945
1363,28.0938
1364,28.093
1365,28.0923
1366,28.0915
1367,28.0908
1368,28.0901
1369,28.0893
1370,28.0886
1371,28.0878
1372,28.0871
1373,28.0863
1374,28.0856
1375,28.0849
1376,28.0841
1377,28.0834
1378,28.0827
1379,28.0819
1380,28.0812
1381,28.0805
1382,28.0797
1383,28.079
1384,28.0783
1385,28.0775
1386,28.0768
1387,28.0761
1388,28.0754
1389,28.0746
1390,28.0739
1391,28.0732
1392,28.0725
1393,28.0717
1394,28.071
1395,28.0703
1396,28.0696
1397,28.0689
1398,28.0681
1399,28.0674
1400,28.0667
1401,28.066
1402,28.0653
1403,28.0646
1404,28.0639
1405,28.0631
1406,28.0624
1407,28.0617
1408,28.061
1409,28.0603
1410,28.0596
1411,28.0589
1412,28.0582
1413,28.0575
1414,28.0568
1415,28.0561
1416,28.0554
1417,28.0547
1418,28.054
1419,28.0533
1420,28.0526
1421,28.0519
1422,28.0512
1423,28.0505
1424,28.0498
1425,28.0491
1426,28.0484
1427,28.0477
1428,28.047
1429,28.0463
1430,28.0456
1431,28.0449
1432,28.0442
1433,28.0435
1434,28.0428
1435,28.0421
1436,28.0414
1437,28.0408
1438,28.0401
1439,28.0394
1440,28.0387
1441,28.038
1442,28.0373
1443,28.0366
1444,28.036
1445,28.0353
1446,28.0346
1447,28.0339
1448,28.0332
1449,28.0326
1450,28.0319
1451,28.0312
1452,28.0305
1453,28.0299
1454,28.0292
1455,28.0285
1456,28.0278
1457,28.0272
1458,28.0265
1459,28.0258
1460,28.0251
1461,28.0245
1462,28.0238
1463,28.0231
1464,28.0225
1465,28.0218
1466,28.0211
1467,28.0205
1468,28.0198
1469,28.0191
1470,28.0185
1471,28.0178
1472,28.0172
1473,28.0165
1474,28.0158
1475,28.0152
1476,28.0145
1477,28.0139
1478,28.0132
1479,28.0125
1480,28.0119
1481,28.0112
1482,28.0106
1483,28.0099
1484,28.0093
1485,28.0086
1486,28.008
1487,28.0073
1488,28.0067
1489,28.006
1490,28.0054
1491,28.0047
1492,28.0041
1493,28.0034
1494,28.0028
1495,28.0021
1496,28.0015
1497,28.0008
1498,28.0002
1499,27.9995
1500,27.9989
1501,27.9982
1502,27.9976
1503,27.997
1504,27.9963
1505,27.9957
1506,27.995
1507,27.9944
1508,27.9938
1509,27.9931
1510,27.9925
1511,27.9919
1512,27.9912
1513,27.9906
1514,27.99
1515,27.9893
1516,27.9887
1517,27.9881
1518,27.9874
1519,27.9868
1520,27.9862
1521,27.9855
1522,27.9849
1523,27.9843
1524,27.9837
1525,27.983
1526,27.9824
1527,27.9818
1528,27.9811
1529,27.9805
1530,27.9799
1531,27.9793
1532,27.9787
1533,27.978
1534,27.9774
1535,27.9768
1536,27.9762
1537,27.9756
1538,27.9749
1539,27.9743
1540,27.9737
1541,27.9731
1542,27.9725
1543,27.9718
1544,27.9712
1545,27.9706
1546,27.97
1547,27.9694
1548,27.9688
1549,27.9682
1550,27.9676
1551,27.9669
1552,27.9663
1553,27.9657
1554,27.9651
1555,27.9645
1556,27.9639
1557,27.9633
1558,27.9627
1559,27.9621
1560,27.9615
1561,27.9609
1562,27.9603
1563,27.9597
1564,27.9591
1565,27.9585
1566,27.9579
1567,27.9573
1568,27.9567
1569,27.9561
1570,27.9555
1571,27.9549
1572,27.9543
1573,27.9537
1574,27.9531
1575,27.9525
1576,27.9519
1577,27.9513
1578,27.9507
1579,27.9501
1580,27.9495
1581,27.9489
1582,27.9483
1583,27.9477
1584,27.9471
1585,27.9465
1586,27.9459
1587,27.9454
1588,27.9448
1589,27.9442
1590,27.9436
1591,27.943
1592,27.9424
1593,27.9418
1594,27.9413
1595,27.9407
1596,27.9401
1597,27.9395
1598,27.9389
1599,27.9383
1600,27.9377
1601,27.9372
1602,27.9366
1603,27.936
1604,27.9354
1605,27.9348
1606,27.9343
1607,27.9337
1608,27.9331
1609,27.9325
1610,27.932
1611,27.9314
1612,27.9308
1613,27.9302
1614,27.9297
1615,27.9291
1616,27.9285
1617,27.9279
1618,27.9274
1619,27.9268
1620,27.9262
1621,27.9257
1622,27.9251
1623,27.9245
1624,27.9239
1625,27.9234
1626,27.9228
1627,27.9222
1628,27.9217
1629,27.9211
1630,27.9205
1631,27.92
1632,27.9194
1633,27.9188
1634,27.9183
1635,27.9177
1636,27.9172
1637,27.9166
1638,27.916
1639,27.9155
1640,27.9149
1641,27.9144
1642,27.9138
1643,27.9132
1644,27.9127
1645,27.9121
1646,27.9116
1647,27.911
1648,27.9105
1649,27.9099
1650,27.9093
1651,27.9088
1652,27.9082
1653,27.9077
1654,27.9071
1655,27.9066
1656,27.906
1657,27.9055
1658,27.9049
1659,27.9044
1660,27.9038
1661,27.9033
1662,27.9027
1663,27.9022
1664,27.9016
1665,27.9011
1666,27.9005
1667,27.9
1668,27.8994
1669,27.8989
1670,27.8983
1671,27.8978
1672,27.8973
1673,27.8967
1674,27.8962
1675,27.8956
1676,27.8951
1677,27.8945
1678,27.894
1679,27.8935
1680,27.8929
1681,27.8924
1682,27.8918
1683,27.8913
1684,27.8908
1685,27.8902
1686,27.8897
1687,27.8892
1688,27.8886
1689,27.8881
1690,27.8875
1691,27.887
1692,27.8865
1693,27.8859
1694,27.8854
1695,27.8849
1696,27.8843
1697,27.8838
1698,27.8833
1699,27.8827
1700,27.8822
1701,27.8817
1702,27.8812
1703,27.8806
1704,27.8801
1705,27.8796
1706,27.879
1707,27.8785
1708,27.878
1709,27.8775
1710,27.8769
1711,27.8764
1712,27.8759
1713,27.8754
1714,27.8748
1715,27.8743
1716,27.8738
1717,27.8733
1718,27.8727
1719,27.8722
1720,27.8717
1721,27.8712
1722,27.8707
1723,27.8701
1724,27.8696
1725,27.8691
1726,27.8686
1727,27.8681
1728,27.8676
1729,27.867
1730,27.8665
1731,27.866
1732,27.8655
1733,27.865
1734,27.8645
1735,27.8639
1736,27.8634
1737,27.8629
1738,27.8624
1739,27.8619
1740,27.8614
1741,27.8609
1742,27.8604
1743,27.8598
1744,27.8593
1745,27.8588
1746,27.8583
1747,27.8578
1748,27.8573
1749,27.8568
1750,27.8563
1751,27.8558
1752,27.8553
1753,27.8548
1754,27.8543
1755,27.8537
1756,27.8532
1757,27.8527
1758,27.8522
1759,27.8517
1760,27.8512
1761,27.8507
1762,27.8502
1763,27.8497
1764,27.8492
1765,27.8487
1766,27.8482
1767,27.8477
1768,27.8472
1769,27.8467
1770,27.8462
1771,27.8457
1772,27.8452
1773,27.8447
1774,27.8442
1775,27.8437
1776,27.8432
1777,27.8427
1778,27.8422
1779,27.8417
1780,27.8412
1781,27.8408
1782,27.8403
1783,27.8398
1784,27.8393
1785,27.8388
1786,27.8383
1787,27.8378
1788,27.8373
1789,27.8368
1790,27.8363
1791,27.8358
1792,27.8353
1793,27.8349
1794,27.8344
1795,27.8339
1796,27.8334
1797,27.8329
1798,27.8324
1799,27.8319
1800,27.8314
1801,27.831
1802,27.8305
